Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,12/27/2016,Central,13.27,0.16,4.38,Tamil Nadu
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,12/27/2016,Central,17.16,0.19,2.75,Tamil Nadu
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,12/27/2016,Central,20.04,0.23,8.62,Tamil Nadu
OD41,Malik,Beverages,Health Drinks,Namakkal,12/27/2016,Central,6.47,0.19,0.91,Tamil Nadu
OD42,Arutra,Beverages,Soft Drinks,Salem,09-10-2018,Central,18.31,0.18,6.04,Tamil Nadu
OD43,Sharon,Snacks,Cookies,Bodi,7/17/2017,West,9.97,0.25,3.39,Tamil Nadu
OD44,Mathew,Snacks,Cookies,Dharmapuri,9/19/2018,South,22.65,0.2,10.19,Tamil Nadu
OD45,Amrish,Bakery,Biscuits,Krishnagiri,03-11-2017,Central,16.3,0.17,7.17,Tamil Nadu
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,03-11-2017,Central,13.92,0.19,3.48,Tamil Nadu
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,10/20/2015,Central,13.87,0.31,4.99,Tamil Nadu
OD48,Mathew,Snacks,Noodles,Chennai,6/20/2017,East,14.58,0.3,5.98,Tamil Nadu
OD49,Ridhesh,Snacks,Noodles,Pudukottai,6/20/2017,East,7.11,0.18,0.43,Tamil Nadu
OD50,Amrish,Bakery,Cakes,Ooty,4/18/2016,Central,12.34,0.15,4.07,Tamil Nadu
OD51,Esther,Beverages,Soft Drinks,Salem,4/18/2016,Central,8.84,0.29,1.5,Tamil Nadu
OD52,Shah,Beverages,Soft Drinks,Salem,4/18/2016,Central,22.6,0.3,5.42,Tamil Nadu
OD53,Sudha,Bakery,Cakes,Theni,4/18/2016,Central,13.89,0.19,0.97,Tamil Nadu
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,12-11-2017,East,6.14,0.33,1.78,Tamil Nadu
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,12-11-2017,East,7.45,0.28,0.6,Tamil Nadu
OD56,Muneer,Food Grains,Atta & Flour,Salem,6/17/2017,East,23.03,0.15,5.99,Tamil Nadu
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,6/17/2017,East,11.55,0.34,2.66,Tamil Nadu
OD58,Veena,Food Grains,Dals & Pulses,Trichy,6/17/2017,East,15.92,0.35,1.91,Tamil Nadu
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,6/17/2017,East,12.9,0.35,4.13,Tamil Nadu
OD60,Shree,Beverages,Health Drinks,Coimbatore,6/17/2017,East,20.79,0.12,6.65,Tamil Nadu
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,6/17/2017,East,13.99,0.28,2.66,Tamil Nadu
OD62,Willams,Snacks,Noodles,Perambalur,6/17/2017,East,6.92,0.33,2.84,Tamil Nadu
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,11/24/2016,West,9.03,0.25,1.81,Tamil Nadu
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,11/24/2016,West,17.06,0.31,6.48,Tamil Nadu
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,11/24/2016,West,5.95,0.22,1.96,Tamil Nadu
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,11/24/2016,West,17.88,0.25,7.51,Tamil Nadu
OD67,Vinne,Food Grains,Atta & Flour,Madurai,4/30/2016,Central,13.41,0.11,3.75,Tamil Nadu
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,12-05-2015,West,11.37,0.16,5.0,Tamil Nadu
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,12-05-2015,West,12.68,0.23,0.76,Tamil Nadu
OD70,Peer,Oil & Masala,Masalas,Ooty,06-04-2017,South,12.07,0.14,5.43,Tamil Nadu
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,9/18/2017,East,9.74,0.31,3.51,Tamil Nadu
OD72,Yusuf,Snacks,Noodles,Kanyakumari,9/14/2018,Central,24.19,0.18,9.92,Tamil Nadu
OD73,Alan,Snacks,Cookies,Theni,4/26/2016,South,7.07,0.27,0.99,Tamil Nadu
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,4/26/2016,South,23.28,0.21,4.66,Tamil Nadu
OD75,Arvind,Beverages,Soft Drinks,Vellore,4/26/2016,South,19.26,0.13,1.16,Tamil Nadu
OD76,Veronica,Beverages,Soft Drinks,Bodi,12-09-2018,Central,14.59,0.12,1.9,Tamil Nadu
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,12-09-2018,Central,12.25,0.27,0.74,Tamil Nadu
OD78,Anu,Snacks,Noodles,Coimbatore,12-09-2018,Central,13.31,0.31,4.79,Tamil Nadu
OD79,Haseena,Snacks,Cookies,Vellore,11/26/2015,Central,7.05,0.2,0.63,Tamil Nadu
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,06-12-2017,South,22.57,0.26,6.09,Tamil Nadu
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,06-12-2017,South,19.86,0.34,8.94,Tamil Nadu
OD82,Amy,Food Grains,Atta & Flour,Bodi,10-12-2015,West,17.04,0.29,7.5,Tamil Nadu
OD83,Komal,Oil & Masala,Spices,Cumbum,10-12-2015,West,9.7,0.26,2.23,Tamil Nadu
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,09-03-2016,South,23.07,0.11,6.69,Tamil Nadu
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,11/13/2018,Central,10.23,0.1,3.38,Tamil Nadu
OD86,Willams,Oil & Masala,Spices,Dindigul,5/28/2018,South,20.86,0.25,6.47,Tamil Nadu
OD87,Sharon,Food Grains,Rice,Theni,10/26/2018,Central,17.24,0.1,6.03,Tamil Nadu
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,10/26/2018,Central,16.3,0.26,6.52,Tamil Nadu
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,04-05-2017,Central,20.69,0.21,1.86,Tamil Nadu
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,9/17/2017,West,18.4,0.12,4.42,Tamil Nadu
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,9/17/2017,West,7.54,0.34,0.45,Tamil Nadu
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,9/17/2017,West,12.16,0.14,4.01,Tamil Nadu
OD93,Ravi,Food Grains,Atta & Flour,Madurai,1/31/2016,Central,20.85,0.14,3.75,Tamil Nadu
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,1/31/2016,Central,22.12,0.33,2.65,Tamil Nadu
OD95,Mathew,Snacks,Chocolates,Bodi,1/31/2016,Central,12.59,0.28,2.14,Tamil Nadu
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,11-06-2018,West,12.05,0.13,4.34,Tamil Nadu
OD97,Sudha,Food Grains,Atta & Flour,Ooty,11-09-2018,East,18.19,0.21,7.09,Tamil Nadu
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,6/17/2018,West,5.34,0.31,1.23,Tamil Nadu
OD99,Vince,Snacks,Chocolates,Dharmapuri,09-06-2017,Central,22.55,0.28,3.83,Tamil Nadu
OD100,Krithika,Oil & Masala,Spices,Chennai,8/29/2017,Central,14.46,0.26,5.2,Tamil Nadu
OD101,Adavan,Bakery,Cakes,Coimbatore,8/29/2017,Central,20.76,0.35,8.93,Tamil Nadu
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,8/29/2017,Central,14.96,0.17,6.58,Tamil Nadu
OD103,Vinne,Snacks,Chocolates,Nagercoil,12-01-2017,Central,5.56,0.18,1.72,Tamil Nadu
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,11/13/2016,West,9.5,0.27,1.8,Tamil Nadu
OD105,Suresh,Food Grains,Dals & Pulses,Karur,11/13/2016,West,22.54,0.14,10.14,Tamil Nadu
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,11/13/2016,West,15.43,0.33,0.77,Tamil Nadu
OD107,Sundar,Beverages,Health Drinks,Cumbum,11/23/2018,South,5.29,0.12,1.06,Tamil Nadu
OD108,Willams,Snacks,Cookies,Tirunelveli,11/23/2018,South,5.25,0.34,1.73,Tamil Nadu
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,11/23/2018,South,5.45,0.21,1.53,Tamil Nadu
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,10/15/2016,Central,11.55,0.16,2.66,Tamil Nadu
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,12/25/2018,East,14.57,0.12,4.95,Tamil Nadu
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,11-03-2017,Central,21.76,0.1,1.09,Tamil Nadu
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,11-03-2017,Central,21.12,0.3,5.7,Tamil Nadu
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,8/25/2015,East,11.31,0.1,0.68,Tamil Nadu
OD115,Muneer,Snacks,Noodles,Salem,8/25/2015,East,23.72,0.11,2.37,Tamil Nadu
OD116,Rumaiza,Snacks,Chocolates,Karur,8/25/2015,East,12.79,0.24,2.81,Tamil Nadu
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,8/25/2015,East,9.08,0.2,1.54,Tamil Nadu
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,03-02-2016,West,9.63,0.11,1.83,Tamil Nadu
OD119,Akash,Food Grains,Rice,Chennai,04-05-2016,South,8.85,0.1,0.88,Tamil Nadu
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,06-12-2017,East,12.1,0.12,0.73,Tamil Nadu
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,06-12-2017,East,12.18,0.24,1.71,Tamil Nadu
OD122,Harish,Bakery,Cakes,Krishnagiri,06-12-2017,East,6.36,0.34,1.97,Tamil Nadu
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,06-12-2017,East,23.07,0.11,1.85,Tamil Nadu
OD124,Anu,Beverages,Soft Drinks,Cumbum,06-12-2017,East,14.14,0.27,1.84,Tamil Nadu
OD125,Sudeep,Bakery,Breads & Buns,Madurai,12/26/2015,Central,9.56,0.26,3.82,Tamil Nadu
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,9/20/2015,Central,8.71,0.19,0.7,Tamil Nadu
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,11-05-2018,West,23.05,0.17,8.53,Tamil Nadu
OD128,Harish,Oil & Masala,Spices,Tirunelveli,11-05-2018,West,12.67,0.23,3.29,Tamil Nadu
OD129,Sharon,Food Grains,Rice,Bodi,11-06-2017,West,14.29,0.29,5.86,Tamil Nadu
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,11-06-2017,West,17.65,0.22,1.24,Tamil Nadu
OD131,Haseena,Snacks,Chocolates,Tenkasi,02-02-2018,East,12.36,0.29,4.08,Tamil Nadu
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,02-02-2018,East,20.7,0.28,1.03,Tamil Nadu
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,02-02-2018,East,6.27,0.24,1.38,Tamil Nadu
OD134,Shah,Bakery,Cakes,Tenkasi,10/13/2017,West,16.25,0.12,3.09,Tamil Nadu
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,10/13/2017,West,23.26,0.18,6.51,Tamil Nadu
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,10/13/2017,West,14.01,0.19,5.05,Tamil Nadu
OD137,Sundar,Oil & Masala,Spices,Viluppuram,10/13/2017,West,18.36,0.3,6.61,Tamil Nadu
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,10/13/2017,West,8.5,0.14,3.23,Tamil Nadu
OD139,Malik,Snacks,Noodles,Theni,10/13/2017,West,10.79,0.19,4.75,Tamil Nadu
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,10/13/2017,West,10.66,0.28,4.16,Tamil Nadu
OD141,Veena,Bakery,Biscuits,Perambalur,09-05-2017,East,8.49,0.32,3.73,Tamil Nadu
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,9/18/2018,West,24.33,0.14,2.19,Tamil Nadu
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,9/18/2018,West,13.08,0.11,2.88,Tamil Nadu
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,9/18/2018,West,7.5,0.24,2.47,Tamil Nadu
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,12/22/2018,Central,23.55,0.2,6.12,Tamil Nadu
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,09-07-2016,West,15.2,0.13,5.62,Tamil Nadu
OD147,Ridhesh,Food Grains,Organic Staples,Theni,10/22/2015,East,15.33,0.27,1.84,Tamil Nadu
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,12-05-2017,Central,11.02,0.33,2.87,Tamil Nadu
OD149,Veronica,Beverages,Health Drinks,Tenkasi,12-05-2017,Central,7.53,0.1,1.81,Tamil Nadu
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,12-05-2017,Central,19.45,0.26,7.2,Tamil Nadu
OD151,Muneer,Food Grains,Rice,Bodi,12-05-2017,Central,22.41,0.13,10.09,Tamil Nadu
OD152,Jackson,Snacks,Chocolates,Pudukottai,3/13/2017,West,9.96,0.34,3.29,Tamil Nadu
OD153,Amy,Snacks,Cookies,Namakkal,3/13/2017,West,8.35,0.26,0.75,Tamil Nadu
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,5/31/2016,West,12.08,0.28,2.3,Tamil Nadu
OD155,Jonas,Snacks,Noodles,Pudukottai,5/31/2016,West,21.91,0.14,6.14,Tamil Nadu
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,5/31/2016,West,21.44,0.32,7.93,Tamil Nadu
OD157,Peer,Snacks,Cookies,Coimbatore,5/28/2016,West,10.92,0.2,4.48,Tamil Nadu
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,03-01-2015,West,17.39,0.15,6.08,Tamil Nadu
OD159,Amy,Beverages,Soft Drinks,Karur,11/20/2017,Central,23.17,0.21,10.19,Tamil Nadu
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,11/20/2017,Central,14.57,0.11,1.46,Tamil Nadu
OD161,Yadav,Beverages,Soft Drinks,Ooty,05-11-2017,West,6.99,0.3,1.89,Tamil Nadu
OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,12/28/2016,East,7.22,0.2,2.74,Tamil Nadu
OD163,Amrish,Snacks,Chocolates,Trichy,11/16/2017,West,9.84,0.26,3.35,Tamil Nadu
OD164,Hussain,Snacks,Cookies,Theni,11-07-2017,West,14.86,0.32,1.19,Tamil Nadu
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,09-08-2015,Central,14.13,0.28,5.94,Tamil Nadu
OD166,Sudha,Beverages,Health Drinks,Madurai,09-08-2015,Central,16.56,0.33,4.14,Tamil Nadu
OD167,Adavan,Snacks,Chocolates,Bodi,09-08-2015,Central,19.81,0.13,3.37,Tamil Nadu
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,09-08-2015,Central,22.93,0.25,4.82,Tamil Nadu
OD169,Krithika,Oil & Masala,Spices,Viluppuram,09-08-2015,Central,6.91,0.15,1.73,Tamil Nadu
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,09-08-2015,Central,11.91,0.2,0.6,Tamil Nadu
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,09-08-2015,Central,5.41,0.25,2.33,Tamil Nadu
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,08-05-2015,West,13.84,0.11,5.54,Tamil Nadu
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,08-05-2015,West,7.75,0.32,1.47,Tamil Nadu
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,08-05-2015,West,24.26,0.33,4.13,Tamil Nadu
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,9/14/2015,Central,17.12,0.27,4.62,Tamil Nadu
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,9/14/2015,Central,19.34,0.15,8.31,Tamil Nadu
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,4/21/2018,Central,19.84,0.24,5.36,Tamil Nadu
OD178,Rumaiza,Snacks,Noodles,Vellore,11/21/2016,East,9.96,0.29,2.19,Tamil Nadu
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,11/21/2016,East,6.75,0.3,0.54,Tamil Nadu
OD180,Krithika,Food Grains,Atta & Flour,Karur,12/15/2016,East,12.96,0.16,3.37,Tamil Nadu
OD181,Arvind,Snacks,Cookies,Bodi,12-05-2015,Central,15.73,0.25,4.25,Tamil Nadu
OD182,Ravi,Beverages,Health Drinks,Namakkal,12-05-2015,Central,16.84,0.2,1.68,Tamil Nadu
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,11/19/2015,South,21.33,0.35,7.68,Tamil Nadu
OD184,Surya,Food Grains,Organic Staples,Cumbum,11/19/2015,South,5.66,0.19,2.32,Tamil Nadu
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,11/19/2015,South,7.66,0.28,1.92,Tamil Nadu
OD186,Shah,Snacks,Noodles,Chennai,11/28/2017,East,13.6,0.35,0.95,Tamil Nadu
OD187,Krithika,Bakery,Cakes,Cumbum,8/26/2015,West,22.19,0.21,7.77,Tamil Nadu
OD188,Anu,Beverages,Soft Drinks,Pudukottai,7/16/2017,Central,7.97,0.16,1.35,Tamil Nadu
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,7/16/2017,Central,19.75,0.24,5.53,Tamil Nadu
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,10-12-2016,East,14.04,0.3,4.63,Tamil Nadu
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,10-12-2016,East,20.51,0.11,3.28,Tamil Nadu
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,10-12-2016,East,21.06,0.17,6.11,Tamil Nadu
OD193,Anu,Beverages,Health Drinks,Dharmapuri,10-12-2016,East,19.33,0.32,4.06,Tamil Nadu
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,10-12-2016,East,20.19,0.25,4.24,Tamil Nadu
OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,10/31/2016,West,11.51,0.12,3.34,Tamil Nadu
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,3/21/2015,East,9.86,0.25,1.87,Tamil Nadu
OD197,Sudeep,Bakery,Breads & Buns,Karur,3/21/2015,East,13.81,0.16,3.73,Tamil Nadu
OD198,Verma,Food Grains,Organic Staples,Pudukottai,11-06-2018,East,8.96,0.34,3.31,Tamil Nadu
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,07-06-2018,East,13.25,0.3,5.17,Tamil Nadu
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,07-06-2018,East,6.68,0.25,1.67,Tamil Nadu
OD201,James,Food Grains,Organic Staples,Tirunelveli,6/24/2018,East,17.03,0.22,2.38,Tamil Nadu
OD202,Vidya,Bakery,Cakes,Salem,08-03-2015,West,23.73,0.25,4.75,Tamil Nadu
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,08-03-2015,West,22.0,0.24,3.96,Tamil Nadu
OD204,Akash,Oil & Masala,Masalas,Vellore,12/17/2018,Central,8.78,0.12,2.9,Tamil Nadu
OD205,Ram,Oil & Masala,Spices,Virudhunagar,06-03-2018,South,10.12,0.3,1.82,Tamil Nadu
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,12-09-2018,West,19.58,0.29,1.37,Tamil Nadu
OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,12-01-2018,Central,14.4,0.15,6.33,Tamil Nadu
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,12-01-2018,Central,18.61,0.25,3.54,Tamil Nadu
OD209,Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,12-01-2018,Central,21.5,0.2,1.51,Tamil Nadu
OD210,Amrish,Beverages,Soft Drinks,Vellore,12-01-2018,Central,19.03,0.29,4.95,Tamil Nadu
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,12-01-2018,Central,5.97,0.3,2.03,Tamil Nadu
OD212,Verma,"Eggs, Meat & Fish",Chicken,Trichy,02-09-2016,Central,23.06,0.26,4.15,Tamil Nadu
OD213,Peer,Beverages,Soft Drinks,Salem,01-02-2016,East,15.59,0.15,2.65,Tamil Nadu
OD214,Arutra,Food Grains,Rice,Krishnagiri,01-02-2016,East,13.26,0.11,5.17,Tamil Nadu
OD215,Jonas,Beverages,Health Drinks,Namakkal,01-02-2016,East,10.0,0.21,0.8,Tamil Nadu
OD216,Harish,Snacks,Noodles,Ramanadhapuram,01-02-2016,East,13.35,0.31,1.74,Tamil Nadu
OD217,Sundar,Food Grains,Rice,Krishnagiri,01-02-2016,East,16.98,0.31,4.25,Tamil Nadu
OD218,Suresh,Oil & Masala,Masalas,Tirunelveli,10/28/2017,West,19.1,0.17,0.96,Tamil Nadu
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Virudhunagar,10/28/2017,West,23.21,0.34,8.59,Tamil Nadu
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Pudukottai,12/24/2016,East,20.68,0.25,4.76,Tamil Nadu
OD221,Ramesh,Food Grains,Dals & Pulses,Madurai,12/24/2016,East,19.01,0.2,7.79,Tamil Nadu
OD222,Willams,"Eggs, Meat & Fish",Fish,Vellore,12/24/2016,East,15.26,0.2,6.26,Tamil Nadu
OD223,Ramesh,"Eggs, Meat & Fish",Fish,Madurai,12/24/2016,East,14.14,0.19,2.69,Tamil Nadu
OD224,Yadav,Beverages,Soft Drinks,Perambalur,12/24/2016,East,19.84,0.11,8.93,Tamil Nadu
OD225,Krithika,"Eggs, Meat & Fish",Chicken,Viluppuram,12/24/2016,East,21.25,0.16,5.52,Tamil Nadu
OD226,Verma,"Eggs, Meat & Fish",Chicken,Tirunelveli,08-09-2016,Central,6.09,0.24,1.7,Tamil Nadu
OD227,Komal,Food Grains,Organic Staples,Madurai,08-09-2016,Central,12.05,0.17,2.89,Tamil Nadu
OD228,Harish,Snacks,Cookies,Salem,08-09-2016,Central,5.49,0.34,2.36,Tamil Nadu
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,Tenkasi,2/28/2016,South,12.6,0.22,2.77,Tamil Nadu
OD230,Ramesh,Beverages,Health Drinks,Tenkasi,2/28/2016,South,12.17,0.34,1.46,Tamil Nadu
OD231,Arvind,Bakery,Breads & Buns,Krishnagiri,9/13/2015,South,7.03,0.21,0.42,Tamil Nadu
